Telang,,Kosambi,Tawney
V132,तुझं वेश्म सुताः,252,"“My house is high, my sons renowned, my wealth beyond compare,
My wife is lovely, young my age” — thus thoughtless men declare,
Thinking this world will last for aye, they don delusion's chains;
The sage knows all will pass away, and straight this world disdains."
V133,ददतु ददतु गालीर्गालिवन्तो,255,"Revile, revilers! I, 'tis true,
Cannot return your scorn:
We give but what we know, for who
E'er gave a rabbit's horn?"
V134,दूरादर्थं घटयति नवं,260,
V135,न भिक्षा दुष्प्रापा पथि,560,"Alms are not difficult to gain, great Rama showed the way;
The earth yields roots, the deer skin keeps the winter's cold away;
Whether we joy or grieve we're still of destiny the slaves;
Why should I leave the three-eyed god to court blind purse-proud knaves?"
V136,नो khaḍga प्रविदारिता,581,
V137,परिभ्रमति किं वृथा,267,"Why wander without end? find rest at last, my soul:
What will be, must be; none can Fate's decree control,
Leave thinking of the past, and let the future be,
Reap joys which come by chance and unexpected flee."
V138,पाणि पात्रयतां,268,"Their hand their only dish,
Begging their wants supplies,
They sleep where Fate may wish,
The world as straw they prize,
Such is the hermit's life:
Few souls, by Siva's might,
Can win through toil and strife
To that supreme delight."
V139,पातालान विमोचितो,599,"Bali you've not released from hell nor Death the monster slain,
Nor cleansed from spots the moon's fair disk nor put an end to pain,
Nor bearing up the earth awhile eased Sesha from the load,
Do you not blush to wear the wreath to matchless heroes owed?"
V140,प्रशान्तशास्त्रार्थविचारचापलं,609,"What folly 'tis o'er musty texts to brood,
Or charm with plays and songs the idle mood!
All fancies vain my soul hath flung aside,
Resolved in Siva only to confide."
V141,फलं स्वेच्छालभ्यं,281,"The forest trees yield fruit which men may pluck at will,
The wave runs pure and cold in many a holy rill,
Soft is the bed of leaves which wind-swept creepers pour,
And yet mean spirits court scorn at the rich man's door."
V142,भव्यं भक्तं ततः,288,
V143,मिक्षा कामदुधा धेनुः,630,"Begging supplies my wants,
My rags keep out the cold,
My faith in Siva's firm,—
What need have I of gold?"
V144,मिक्षाहारमदैन्यमप्रतिहतं,290,"The chief of saints declare no joy can vie with theirs
Who fling on Siva's breast the burden of their cares,
Taking no thought for wealth, by daily bounty fed,
Blessed and pure, exempt from envy, pain, and dread."
V145,भू : पर्यङ्को निजभुजलता,291,
V146,भोगास्तुङ्गतरङ्गभङ्गचपलाः,293,"Our joys are like the wave in foam-flakes hurled,
Youth, life, and love like lightning come and go.
Learn this, ye wise, and teach the people so,
That all may know how hollow is this world."
V147,yad vaktraṃ मुहुरीक्षसे न धनिनां,678,"Say, hast thou gained this bliss by long ascetic pain,
Deer, that thou flatter'st not the rich nor feel'st their scorn,
Nor runnest here and there some trifling boon to gain,
But feed'st on tender grass, and sleep'st from eve till morn?"
V148,यन्नागा मदभिन्नगण्डकरटास्तिष्ठन्ति निद्रालसा,310,
V149,यां चिन्तयामि सततं,311,
V150,ये संतोषसुखप्रमोदमुदितास्तेषां,314,
V151,वर्ण सितं शिरसि,323,"When maidens see a tinge of white
Streak a man's hair, they shun his sight,—
'Tis like the white bone on the brink
Of wells whence only outcasts drink."
V152,समारम्भा भग्नाः,781,"Thou fool, how oft thy schemes have missed their aim!
And yet this gold-mirage thy soul allures,
That still thou hop'st, and still thy heart endures,
Shows it is wrought of adamantine frame."
V153,संमोहयन्ति मदयन्ति,336,"They bewilder, enchant, and deceive,
Plunge in anger, delight, and despair;
Woe to those who in pity receive
To their credulous bosoms the fair!"
V154,सिंहो बली द्विरदशकरमांसभोजी,797,
V155,स्थिति : पुण्येरण्ये सह,344,"A hermit's forest cell, and fellowship with deer,
A harmless meal of fruit, stone beds beside the stream,
Are helps to those who long for Siva's guidance here;
But be the mind devout, our homes will forests seem."
V156,स्वादिष्टं मधुनो,351,"Sweeter than honey are the nectar'd strains
The goddess Speech sends forth to cheer our souls;
Content with these and charitable doles,
We will not purchase wealth with slavish pains."
