,Mādhavānanda,Kosambi
83,"				जीर्णा एव मनोरथाश्च हृदये यातं च तद्यौवनं
					हन्ताङ्गेषु गुणाश्च वन्ध्यफलतां याता गुणज्ञैविर्ना ।
				किं युक्तं सहसाभ्युपैति बलवान्काल: कृतान्तोऽक्षमी
					हा ज्ञातं मदनान्तकाङ्घ्रियुगलं मुक्त्वास्ति नान्या गति: ।।८३।।
			83. Desires have worn off in our heart. Alas! Youth has also passed away from the body. The virtues have proved barren for want of appreciative admirers. The powerful, all-destroying, unrelenting Death is fast hastening in! What is to be done? Ah me! I see there is no other refuge left except the feet of the Destroyer of Cupid.
			[मदनान्तक—Śiva is so called in allusion to His having turned the god Cupid to ashes on the eve of His marriage with Gaurī.]",249
84,"				महेश्वरे वा जगतामधीश्वरे
					जनार्दने वा जगदन्तरात्मनि ।
				न वस्तुभेदप्रतिपत्तिरस्ति मे
					तथापि भक्तिस्तरुणेन्दुशेखरे ।।८४।।
			84. I make no difference in substance between Śiva, the Lord of the universe and Viṣṇu, the inmost Self of the universe. But still my devotion is (attached) to the One in whose crest there is the crescent moon.
			[This śloka has been brought forward by the poet as a doubt may arise in the mind from the preceding śloka where the poet says that Śiva is the only Lord to take refuge in. Here the poet says that really there is no difference between Śiva and Viṣṇu, but he is by nature attached to Śiva. This is what is called Iṣtaniṣṭā, or the devotion to one’s own ideal.
			The word जनार्दन has been variously derived, the verb अर्द meaning both ‘destroying’ and ‘protecting’. If the former meaning be taken, then the word would mean ‘slayer of the Janas’ (demons living in the sea.]
			जगदन्तरात्मनि—This word has been variously interpreted: (1) ‘the inmost Self of the universe’, (2) ‘One who is the knower of all inner things in the universe’, (3) ‘One who is the Self of all in the universe’, or it may mean, (4) ‘in whose Self is the whole universe’.]	",300
85,"				स्फुरत्स्फारज्योत्स्नाधवलिततले क्वापि पुलिने
					सुखासीना: शान्तध्वनिषु रजनीषु द्युसरित: ।
				भवाभोगोद्विग्ना: शिव शिव शिवेत्युच्चवचस:
					कदा यास्यामोऽन्तर्गतबहुल­बाष्पाकुलदशाम् ।।८५।।
			85. Sitting in a peaceful posture, during nights when all sounds are stilled into silence, somewhere on the banks of the heavenly river which shines with the white glow of the bright-diffused moonlight, and fearful of the miseries of birth and death, crying aloud ‘Śiva, Śiva, Śiva,’ ah! when shall we attain that ecstasy which is characterized by copious tears of joy held in internal control!
			[The last line also reads differently—कदा स्यामानन्दोद्गत­बहुलबाष्पाकुलदृश:—‘When shall we have our eyes filled with copious tears arising out of joy?’]",347
86,"				वितीर्णे सर्वस्वे तरुणकरुणापूर्णहृदया:
					स्मरन्त: संसारे विगुणपरिणामां विधिगतिम् ।
				वयं पुण्यारण्ये परिणतशरच्चन्द्रकिरणा-
					स्त्रियामा नेष्यामो हरचरणचिन्तैकशरणा: ।।८६।।
			86. Giving away all possessions, with a heart filled with tender compassion, remembering the course of destiny which ends so ruefully in this world and, as the only refuge for us, meditating on the feet of Hara (i.e., Śiva), O! we shall spend, in the holy forest, nights aglow with the beams of the full autumnal moon.",325
87,"				कदा वाराणस्याममरतटिनीरोधसि वस-
					न्वसान: कौपीनं शिरसि निदधानोऽञ्जलिपुटम् ।
				अये गौरीनाथ त्रिपुरहर शम्भो त्रिनयन
					प्रसीदेत्याक्रोशन्निमिषमिव नेष्यामि दिवसान् ।।८७।।
			87. When shall I pass the days like a moment, residing on the banks of the celestial river in Vārānasi, clad in a kaupīna (loin-cloth) and with folded hands raised to the forehead, crying out— ‘Oh Lord of Gaurī, the Slayer of Tripura, the Giver of all good, the Three-eyed, have mercy!’",227
88,"				स्नात्वा गाङ्गै: पयोभि: शुचिकुसुमफलैरर्चयित्वा विभो त्वां
					ध्येये ध्यानं निवेश्य क्षितिधरकुहरग्रावपर्यङ्कमूले ।
				आत्माराम: फलाशी गुरुवचनरतस्त्वत्प्रसादात्स्मरारे
				   दु:खं मोक्ष्ये कदाहं समकरचरणे पुंसि सेवासमुत्थम् ।।८८।।
			88. Having bathed in the waters of the Gaṅgā and worshipped Thee, O Lord, with unblemished fruits and flowers and having concentrated my mind, by my stony bed within the mountain cave, on the object of my meditation—blissful in the Self alone, living on fruits, and devoted to the guru’s words—when shall I, O Thou Enemy of Cupid, through Thy grace become released from the grief which has arisen from my serving the man of prosperity?
			[समकरचरणे—‘With the sign of a shark in the feet’, said to be a sign of uncommon prosperity according to the science of divination by bodily signs.]",345
89,"                                        एकाकी नि:स्पृह: शान्त: पाणिपात्रो दिगम्बर: ।
                                        कदा शम्भो भविष्यामि कर्मनिर्मूलनक्षम: ।।८९।।
                        89. O Śiva, when shall I, living alone, free from desires, peaceful in mind, with only the hand to eat from and the four quarters for garment (i.e., naked), be able to root out all karma?",185
90,"				पाणिं पात्रयतां निसर्गशुचिना भैक्षेण संतुष्यतां
					यत्र क्वापि निषीदतां बहुतृणं विश्वं मुहु: पश्यताम् ।
				अत्यागेऽपि तनोरखण्डपरमानन्दावबोधस्पृशा-
					मध्वा कोऽपि शिवप्रसादसुलभ: संपत्स्यते योगिनाम् ।।९०।।
			90. Those who have only their hand to eat from, who are contented with begged food, pure by itself, who repose themselves anywhere (i.e., require no house or bed), who constantly regard the universe like almost a blade of grass, who even before giving up the body experience the uninterrupted Supreme Bliss—for such yogīs indeed the path which is easy of access by Śiva’s grace becomes attainable. (The path, that is to say, of mokṣa or supreme liberation.)",268
91,"				कौपीनं शतखण्डजर्जरतरं कन्था पुनस्तादृशी
					नैश्चिन्त्यं निरपेक्षभैक्षमशनं निद्रा श्मशाने वने ।
				स्वातन्त्र्येण निरङ्कुशं विहरणं स्वान्तं प्रशान्तं सदा
					स्थैर्यं योगमहोत्सवेऽपि च यदि त्रैलोक्यराज्येन किम् ।।९१।।
            91. If there is a kaupīna (even) worn out and shredded a hundred times and a wrapper also of the same condition, if one is free from all disquieting thought, if food there is, obtained unconditionally from begging, and sleep on a cremation ground or in the forest, if one wanders alone without any let or hindrance, if the mind is always calm, and if one is steadfast in the festive joy of yoga, what is then worth the rulership of the three worlds?",234
92,"					ब्रह्माण्डं मण्डलीमात्रं किं लोभाय मनस्विन: ।
					शफरीस्फुरितेनाब्धि: क्षुब्धो न खलु जायते ।।९२।।
			92. Can this universe, which is but a mere reflection, engender greed in wise men? The ocean surely does not become agitated by the movement of a little fish.
			[Just as a fish cannot set up a swaying of the ocean, so this universe, a mere image in pure Consciousness, cannot move the wise men who identify themselves with it, to any idea of covetousness. मण्डली may simply mean ‘an orb’, which being a limited thing is of little importance to the wise man.]",284
93,"				मातर्लक्ष्मि भजस्व कंचिदपरं मत्काङ्क्षिणी मा स्म भू-
					र्भोगेषु स्पृहयालवस्तव वशे का नि:स्पृहाणामसि ।
				सद्य:स्यूतपलाशपत्रपुटिकापात्रे पवित्रीकृतै-
					भिर्क्षावस्तुभिरेव संप्रति वयं वृत्तिं समीहामहे ।।९३।।
			93. O Mother Lakshmī (Goddess of wealth), serve (thou) someone else; do not long for me. Those who desire enjoyment are subject to thee, but what art thou to us who are free from desires? Now we wish to live upon food articles obtained from begging and placed, (con­formably to its) being sanctified, in a receptacle of palāśa leaves pieced together on the spot.
			[The palāśa vessels are enjoined in the Smṛtis as purifying the food kept in them.]
",302
94,"				महाशय्या पृथ्वी विपुलमुपधानं भुजलता
					वितानं चाकाशं व्यजनमनुकूलोऽयमनिल: ।
				शरच्चन्द्रो दीपो विरतिवनितासङ्गमुदित:
					सुखी शान्त: शेते मुनिरतनुभूतिर्नृप इव ।।९४।।
			94. The earth is his vast bed, the arms his ample pillow, the sky is his canopy, the genial breeze his fan, the autumnal moon is his lamp, and rejoicing in the company of abnegation as his wife, the sage lies down happily and peacefully, like a monarch of undiminished glory.",190
95,"				भिक्षाशी जनमध्यसङ्गरहित: स्वायत्तचेष्ट: सदा
					हानादानविरक्तमार्गनिरत: कश्चित्तपस्वी स्थित: ।
				रथ्याकीर्णविशीर्णजीर्णवसन: संप्राप्तकन्थासनो
					निर्मानो निरहंकृति: शमसुखाभोगैकबद्धस्पृह: ।।९५।।
			95. There lives the real ascetic who feeds himself on alms, unattached to the society of men, always free in his efforts (i.e., without obligation or restraint from outside) and pursuing a path of indifference as regards what to give up or what to take; his worn out garment is made up of rags cast away in streets, and his seat is a blanket received by chance; he is devoid of pride and egoism and he is concerned only in enjoying the happiness arising from the control of mind.",289
96,"				चण्डाल: किमयं द्विजातिरथवा शूद्रोऽथ किं तापस:
					किं वा तत्त्वविवेकपेशलमतिर्योगीश्वर: कोऽपि किम् ।
				इत्युत्पन्नविकल्पजल्पमुखरैराभाष्यमाणा जनै-
					र्न क्रुद्धा: पथि नैव तुष्टमनसो यान्ति स्वयं योगिन: ।।९६।।
			96. When accosted by people who loquaciously express doubt and surmise, such as, ‘Is he a Chandāla , or a twice born, or a Śūdra, or an ascetic, or perhaps some supreme yogī with his mind full of the discrimination of Reality,’ the yogīs themselves go their way, neither pleased nor displeased in mind.
			[The Chandāla is accursed beyond the pale of the four castes, while the Śūdra belongs to the fourth caste. The Brāhmana, Kṣatriya, and Vaiśya form the three twice-born castes.]",243
97,"				हिंसाशून्यमयत्नलभ्यमशनं धात्रा मरुत्कल्पितं
					व्यालानां पशवस्तृणाङ्कुरभुजस्तुष्टा: स्थलीशायिन: ।
				संसारार्णवलङ्घनक्षमधियां वृत्ति: कृता सा नृणां
				तामन्वेषयतां प्रयान्ति सततं सर्वे समाप्तिं गुणा: ।।९७।।
			97. (If) for serpents (even) air has been provided by the Creator as food obtainable without killing or toiling; (if) beasts are contented with feeding on grass-sprouts and lying on ground; for men (also) with intelligence strong enough to lead across the ocean of transmigratory existence, some such livelihood has been created; and those who seek this have all their guṇas invariably brought to their final dissolution.
			[When the guṇas—sattva, rajas, and tamas—are finally reduced to the inactivity of equipoise, the yogī reaches beyond māyā.
			The last line may also be interpreted differently—‘But in rummaging for it all one’s virtues are apt to come to an end.’]",352
98,"				गङ्गातीरे हिमगिरिशिलाबद्धपद्मासनस्य
					ब्रह्मध्यानाभ्यसनविधिना योगनिद्रां गतस्य ।
				किं तैर्भाव्यं मम सुदिवसैर्यत्र ते निविर्शङ्का:
				कण्डूयन्ते जरठहरिणा: स्वाङ्गमङ्गे मदीये ।।९८।।
			98. Will those happy days come to me when on the bank of the Gaṅgā, sitting in the lotus-posture on a piece of stone in the Himalayas, I shall fall into the yoga-nidrā (i.e., lose all consciousness in samādhi or perfect concen­tration) resulting from a regular practice of the contem­plation of Brahman, and when old antelopes having nothing to fear, will rub their limbs against my body!
            [पद्मासनम्— lit. lotus-seat; sitting cross-legged so that the soles of the feet protrude above along the thighs.]",239
99,"				पाणि: पात्रं पवित्रं भ्रमणपरिगतं भैक्षमक्षय्यमन्नं
					विस्तीर्णं वस्त्रमाशादशकमचपलं तल्पमस्वल्पमुर्वी ।
				येषां नि:सङ्गताङ्गीकरण­परिणतस्वान्त­संतोषिणस्ते
					धन्या: संन्यस्तदैन्यव्यतिकरनिकरा: कर्म निर्मूलयन्ति ।।९९।।
			99. With the hand serving as sacred cup, with begged food that comes through wandering and never runs short, with the ten quarters as their ample garment and the earth as a fixed, spacious bed—blessed are they who, having forsaken the manifold worldly associations which an attitude of want breeds, and self-contented with a heart fully matured through their acceptance of absolute seclusion, root out all karma (i.e., the chain of cause and effect which grows on as action and desire in life follow each other).
			[दैन्यव्यतिकरनिकरा:—we prefer to take as: ‘the many forms of contact with the world which result from the poverty of an attitude of seeking worldly objects’.]",269
100,"				मातर्मेदिनि तात मारुत सखे तेज: सुबन्धो जल
					भ्रातर्व्योम निबद्ध एव भवतामन्त्य: प्रणामाञ्जलि: ।
				युष्मत्सङ्गवशोपजातसुकृतस्फार­स्फुरन्निर्मल-
					ज्ञानापास्तसमस्तमोहमहिमा लीये परब्रह्मणि ।।१००।।
			100. O Earth, my mother! O Wind, my father! O Fire, my friend! O Water, my good relative! O sky, my brother! here is my last salutation to you with clasped hands! Having cast away infatuation with its wonderful power, by means of an amplitude of pure knowledge resplendent with merits developed through my association with you all, I now merge in Supreme Brahman.
			[The terms of familiarity and endearment used of the five elements are appropriate in view of the final point of blissful parting to which the yogī has been carried through those subtle tattvas or essences of the five elements which characterize intermediate stages of yogic practice.]",301
